songplays_id,track_id,track_name,track_duration,track_is_explicit,track_popularity,track_played_at,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,2yMYEUc4qydmbdNdfnjXjv,Crush - Bar9 Remix,4.0357666666666665,False,14,2021-12-08 16:20:58,5bHsXOMd0ZOo2GrQa7ZPkM,Crush,2012,album,M'Black,Bar9,7lP0OS529IoZa7snkuvt1E,4jqCEZncUglElRJKDYCVIq,0.67,0.798,4,-3.626,0,0.033,0.00112,8.13e-05,0.101,0.0373,27,2238,,
2,2Aly0kBHnpKvRiKi0qSaNR,Bad Machine (feat. Insomnia) - Original Mix,3.88705,False,36,2021-12-06 20:09:04,3ShpyWJqmJhX3G62QPQkfo,The Other Side,2012,album,Aami,"Nostalgia, Insomnia",29QNOhsjKdpqb6I72n9SrE,"4xNbXMjJ7uODEUHraMXYGO, 4oZkWkCFkvdyPTsmWiBJAk",0.606,0.824,9,-6.243,0,0.0371,0.000799,0.0207,0.23,0.423,21,559,melodic dubstep,
3,6O8RdnXx2iXE9YKDfFOlZ5,Said & Done (Radio Mix) [feat. Reija Lee],3.9243333333333332,False,18,2021-12-06 20:05:10,0R727AV7thGun37DEc9CUp,Said & Done,2012,album,Phetsta,Reija Lee,2Hcwwk5tUoAYLyBmJvAieR,19Lu0quNl0YH77llcXOiDB,0.377,0.957,7,-4.152,0,0.0822,0.000601,0.00109,0.282,0.11,22,6606,drum and bass,jump up
4,2HOMVMnOukowkziBJZyf7o,Time,4.340433333333333,False,55,2021-12-06 20:01:14,245j9BaZFuEso2vfLRVnQr,No More Idols,2011,album,Chase & Status,Delilah,3jNkaOXasoc7RsxdchvEVq,6J1pbNXDK0BTTMCvaO5xPv,0.531,0.919,9,-5.531,0,0.043,0.000214,0.000846,0.135,0.44,63,596150,dancefloor dnb,drum and bass
5,5yQmKyKEdjtxFDPIK9mFLn,Rise & Fall (feat. Krewella),6.03125,False,45,2021-12-06 19:56:54,5xkfX4DNx7hZYrGy8H1YUJ,Rise & Fall (feat. Krewella),2012,album,Adventure Club,,5CdJjUi9f0cVgo9nFuJrFa,,0.513,0.819,5,-5.372,0,0.0454,0.00224,0.153,0.058,0.449,58,279886,brostep,"canadian electronic, edm, electro house, electronic trap, electropop, filthstep, future bass, melodic dubstep, pop dance, pop edm"
6,3JqCKPvNSNccj9KqXqKA2F,In For The Kill - Skrillex Remix,5.185766666666667,False,37,2021-12-06 19:50:52,1FP0qqdTD2EUTpYKlv2FCz,Halloween Party Anthems,2020,album,La Roux,,3K2zB87GZv1krx031en5VA,,0.487,0.689,8,-5.624,0,0.0837,0.0641,1.5e-05,0.349,0.493,64,592947,alternative dance,"art pop, dance pop, electronica, electropop, neo-synthpop, new rave"
7,4bkysqCdbL7LRq0WrdeDRR,Strange Behaviour,4.9152,False,36,2021-12-06 19:45:40,6b4nlgT64d6hdDe1qTCn1G,To the Stars,2011,album,Feed Me,Tasha Baxter,5FWi1mowu6uiU2ZHwr1rby,7sLv4bED064cYa2XhF85og,0.586,0.813,6,-5.3,1,0.111,0.0631,0.000171,0.136,0.339,53,350593,complextro,"edm, electro house"
8,4znKN3GZ8kqCqhy06NER3C,Raindrops (feat. Carmen Forbes) - Radio Edit,3.188,False,30,2021-12-06 19:40:44,03bqeiXnRb3rtbf38EoA7T,Raindrops (feat. Carmen Forbes),2012,album,Fytch,"Captain Crunch, Carmen Forbes",4A18NGfdKU0HrkmvVlPO7I,"0klOVtF0NbuQGymfqOhuK0, 4XY6mCv2cLDP5bSYILeHk5",0.445,0.752,7,-4.507,0,0.0619,0.119,3.46e-05,0.281,0.447,48,33734,bass trap,"filthstep, future bass, traprun"
9,283LAlCpfArRZOXPfkOQj0,Crave You - Adventure Club Remix,3.9488333333333334,False,62,2021-12-06 19:37:32,3XaquASzv8n12oZLxej2YA,Crave You (Remixes),2010,album,Flight Facilities,,1lc8mnyGrCLtPhCoWjRxjM,,0.634,0.692,1,-5.646,0,0.0997,0.00586,0.000116,0.0726,0.0839,66,396176,alternative dance,"aussietronica, australian dance, australian indie, indie soul, nu disco"
10,0vJMw25Y9dhq5aQtPOWDIR,Heartbreak - Bare Noize Remix,4.016666666666667,False,27,2021-12-06 19:33:35,1VvwFqK2E0FQuqzpCb1jLE,Heartbreak Remixes,2008,album,M'Black,,7lP0OS529IoZa7snkuvt1E,,0.58,0.817,4,-3.348,0,0.0387,0.000286,0.0212,0.118,0.187,27,2238,,
11,0F539Pcn7LDa2MbBhDe3Tw,Raise Your Weapon,8.381816666666667,False,46,2021-12-06 19:29:34,791GBXI2YhfSdzn0ARQzlj,4x4=12,2010,album,deadmau5,,2CIMQHirSU0MQqyYHq0eOx,,0.507,0.699,1,-7.483,1,0.0814,0.0166,0.00172,0.112,0.0744,69,2666174,canadian electronic,"edm, electro house, pop dance, progressive house"
12,3zw70gp8lb0zGkH0UPI6yu,Hush Now - 501 Remix,5.081133333333334,False,31,2021-12-06 19:21:10,0ThB8VyE4YoRRlCxMwYjQx,Finally,2012,album,L.A.O.S,501,4rwlVr6ucsOXZLtt5hNMVZ,6zisJbwMg53zsB4tgVf96L,0.558,0.816,0,-6.282,0,0.0748,0.0115,0.121,0.0851,0.0734,33,4518,liquid funk,
13,5wN3UCXBJOgLaT3PGvcruO,Alive - Pegboard Nerds Remix,5.2571,False,14,2021-12-06 19:16:05,7p1qVfcCA7fruBmrXoAwHb,PLAY HARD UK DELUXE EDITION,2012,album,Krewella,Pegboard Nerds,0Cd6nHYwecCNM1sVEXKlYr,0lLY20XpZ9yDobkbHI7u1y,0.601,0.877,6,-4.446,0,0.0482,0.0223,0.0,0.106,0.171,63,888824,dance pop,"edm, electra, electro house, electropop, pop dance"
14,5OBXXaWD8ruhiDzBP3i7S0,HeadRush,4.527916666666667,False,33,2021-12-06 19:10:49,5MN0erWUpadf8TOpzmSTW8,HeadRush / Falling Skies,2012,album,501,Belle Humble,6zisJbwMg53zsB4tgVf96L,5Uh9Oco0Khv18UvTo2PucM,0.383,0.886,7,-3.406,0,0.0457,0.0013,0.0738,0.295,0.302,27,24175,filthstep,
15,4DqvFOvWWRCqCwyNqvHuAv,Universe,6.057133333333334,False,29,2021-12-06 19:06:17,1AVFh3Iw4fLxCWJTzqTmH4,UKF Dubstep 2012,2012,album,Xilent,Shaz Sparks,1k78cRCnTM3T7EhvhVeaKX,3vpOtbQO2ue0zifLcgj58S,0.397,0.88,5,-3.531,0,0.0923,0.018,0.000517,0.149,0.294,37,51958,chillstep,"complextro, dubstep, electro house, filthstep, gaming dubstep, gaming edm, melodic dubstep, neurostep"
16,6Po0JDs8vPuZOCF7RLbtUE,Between Two Points (feat. Swan),5.586433333333333,False,46,2021-12-06 19:00:13,4c5fhgLoAaFzwjNTxC57jK,Drink the Sea,2010,album,The Glitch Mob,,3a9qv6NLHnsVxJUtKOMHvD,,0.528,0.685,6,-7.369,0,0.0471,0.133,0.0136,0.248,0.242,66,530117,edm,"electro house, glitch, glitch hop, indietronica"
17,1niJn3yy7hN3SBDYkygxqO,Locked On The Low - Zero One Remix,3.75,False,20,2021-12-06 18:54:37,6BRKrYp9j7xjzChklZqdfb,Revolutions,2014,album,Lynx ,Hellrazor,1YRwCCrRNbwfx44nvt0nET,3qaV5vHUFx3x5KgLkWe19j,0.572,0.957,5,-4.566,0,0.044,0.0377,0.0848,0.251,0.592,26,3018,,
18,52PF5gJ4HCTYX0cXqgPJo9,3D Romeo,4.202383333333334,False,24,2021-12-06 18:50:52,2mJtMcQL1lJto3EP7gJu38,Mercury,2012,album,Gemini,,3QqJ1L8cWsPFZ1YDPpUmvG,,0.145,0.905,2,-1.732,1,0.0775,0.231,5.53e-05,0.316,0.288,37,48245,uk dance,
19,3Oiauiojgokw9vWQvFmEoI,Eyes on Fire - Zeds Dead Remix,5.333333333333333,False,59,2021-12-06 18:46:39,5wFQEk3sV9Zjo3xnGZLS42,Eyes On Fire (Zed Dead Remix),2007,album,Blue Foundation,Zeds Dead,1FWybrAwiSa0zKibdLfZZr,67qogtRNI0GjUr8PlaG6Zh,0.614,0.726,11,-6.441,1,0.096,0.00869,0.00131,0.157,0.315,55,120720,dream pop,electronica
20,2Xf4RoFpi7n06ppsGKbxiq,Stereo Love - Edit,3.0669166666666667,False,58,2021-12-06 18:41:19,5kRrvgSyY0eyuCIoeQZN2S,Stereo Love,2009,album,Edward Maya,Vika Jigulina,4rryQyzxfL3BHGLrNdrZVT,1Bqqh6HZOgd4JOyQ8ycrLk,0.801,0.786,9,-3.781,1,0.0322,0.0439,0.0346,0.104,0.549,46,39,,
21,6lbhkPbkKj6jnPTt1FelVo,Bullet Train (feat. Joni Fatora),4.0923,False,57,2021-12-06 18:38:13,1Yd1ARdvNdMUo6KnuN6q6w,Bullet Train (feat. Joni Fatora),2012,album,Stephen Swartz,,2RMgYVDRYOGHlqqcushWNU,,0.546,0.703,8,-3.139,0,0.123,0.00797,0.000327,0.175,0.196,41,17757,,
22,2qekxhciWQCUYe1zJraBJo,Nothing You Can Do,3.7429,False,29,2021-12-06 18:33:51,6sIWkojrB07AjyqcuuDW3G,Free Collection,2013,album,DotEXE,,2S2RMiHABGxAQqdqwUN5qF,,0.521,0.67,7,-8.251,0,0.278,0.849,0.0115,0.0893,0.242,38,44629,complextro,"edm, electro house, gaming edm"
23,2nUqoEvPh5fCXCq3CtDGM4,Vain (feat. Evan Duffy) - Original Mix,6.025,False,32,2021-12-06 11:30:45,0oUaF0znpsJQQzJiUZfwcw,Rift EP,2013,album,Singularity,Evan Duffy,3CHdEhu3z3OYck1hZNusWz,3dgukBVETDw8zysM80pbcT,0.59,0.589,6,-6.786,0,0.0498,0.441,0.000931,0.0954,0.371,23,6368,melodic dubstep,
24,2KmnVxhUShzNDPSaRitvFp,Inner Space - Original Mix,6.333033333333334,False,41,2021-12-06 11:24:43,3sFeBBIkCJS8fNLTQNuKEo,Inner Space / Energy Lines,2011,album,Apex,,7pQD0AmPKG2tkjzDauKkqq,,0.451,0.894,5,-6.333,0,0.0408,0.00371,0.941,0.213,0.0874,29,8455,neurofunk,
25,5h1xuyHNE5Djyqtrbha2sx,Come Back Down,4.149416666666666,False,37,2021-12-06 11:18:23,52yr3luKvvBmrZYEZhMwhE,Cannibals EP,2013,album,Mediks,,1CSR4k7z9w7H99xTbrqcu1,,0.385,0.881,3,-2.807,1,0.0649,0.00218,0.000632,0.211,0.153,31,4897,dancefloor dnb,deep liquid
26,65KmfW4rtTSGc64n9RLm8c,Afraid,4.67715,False,31,2021-12-06 11:14:13,59wlQd0U9ceazLSxNMuQ2X,Afraid,2014,album,F.O.O.L,,1ldNdtZX38LAsOk0ciLvb2,,0.688,0.801,8,-8.271,1,0.0522,0.00292,0.833,0.109,0.157,55,55445,complextro,"dark clubbing, electro house, gaming edm"
27,2hkPtjC2SiiPNFoJ3Mxzf4,Just Wait For It,7.134033333333333,False,15,2021-12-06 11:09:32,0YaDYryhZDuMtfVCKyuiLY,Just Wait For It,2014,album,Chris Ramos,Juvon Taylor,18JILdSa5BfdNku8L7xvB1,7F8mzadlDrrMqMIULUXO3z,0.691,0.837,2,-5.234,1,0.0477,0.000121,0.00528,0.0816,0.376,22,3462,gaming edm,pop edm
28,0UTag2zjsrY1Lcm2V8Y7zD,Emoji,3.6665833333333335,False,36,2021-12-06 11:02:23,2rSOPAGlhWUAzjdThQcChJ,Pink Cloud,2015,album,Pegboard Nerds,,0lLY20XpZ9yDobkbHI7u1y,,0.562,0.984,1,-2.828,0,0.0527,0.00799,0.859,0.268,0.448,61,337195,brostep,"danish electronic, edm, electro house, gaming edm, glitch, speedrun"
29,44Q9d3OL3twPe5kbsNbReG,Walk On By - Remix,7.3913,False,37,2021-12-06 10:58:43,1A21SMbzp8gjgFEizThKn3,Walk On By (Remix),2012,album,Sound Remedy,Noosa,1UtzKaSQyctQO8GN8EyzOn,2F8tffsSfw1767WgjtAHBW,0.526,0.699,6,-4.571,0,0.0334,0.018,8.99e-05,0.0888,0.204,43,47913,chillstep,"future bass, pop edm, vapor twitch"
30,3ehS2qoua1T7F3PxdN4k49,World's Apart,3.986666666666667,False,30,2021-12-06 10:51:19,5dQO94zSyrxe39MNtD3kyx,Shooting Stars,2011,album,tyDi,Audrey Gallagher,7tOUuyCplrFWLXCZuhE3C4,0RC0nC8QI7l4NXAOqDsamQ,0.543,0.578,4,-9.337,0,0.0335,0.23,0.0645,0.125,0.0475,46,36969,australian dance,"edm, pop dance, progressive house, trance, uplifting trance"
31,4DPSf9fdrivsT3KZpxXvnM,The Arrival - Instrumental,4.594633333333333,False,35,2021-12-06 10:47:19,2jRy9UtrvK4ekmDojIpc8i,The Departure,2010,album,Metrik,,2NCEtX40i9lLNpTg2X5583,,0.395,0.844,1,-5.064,0,0.0429,9.24e-05,0.88,0.154,0.166,56,94746,dancefloor dnb,"drum and bass, jump up, liquid funk"
32,2Kqs6ERMep9lFl1V6fSkZn,Know You Well,4.528566666666666,False,34,2021-12-06 10:42:43,1Qe3iCxryrFhhQc6B1r2Ym,Know You Well,2015,album,Michael St Laurent,Laura Hahn,1dUltK2m4kMuls9CbgwPra,3KiwX6kOTrofN7EV0WJv7C,0.557,0.318,6,-12.077,1,0.0305,0.0578,0.0317,0.13,0.11,32,4159,chillstep,
33,5GGV4YB6DaLq7udM2HKPfI,Champions,3.484366666666667,False,34,2021-12-06 10:38:11,43FvGA8zz5JXbZASwdSYZb,Champions,2014,album,Astronaut,Harry Brooks JNR,7lcbOlKjk4gLsCxd481hik,1kQLZAAyFm3F1mEWZcJeT3,0.495,0.796,6,-3.796,0,0.067,0.124,1.05e-06,0.0863,0.146,39,23268,complextro,"electro house, gaming edm"
34,6yUiLWHBV54iOS0st39EyZ,Swamp Thing,4.385183333333333,False,58,2021-12-06 10:34:41,7fjuKepfin9mBDpGsNJRHu,Swamp Thing,2015,album,Pegboard Nerds,,0lLY20XpZ9yDobkbHI7u1y,,0.558,0.99,7,-2.342,1,0.196,0.00215,0.651,0.645,0.417,61,337195,brostep,"danish electronic, edm, electro house, gaming edm, glitch, speedrun"
35,4nHm9fUuZvSR2erPpoMSr1,Raindrops (feat. Carmen Forbes) - Flinch Remix,4.429033333333333,False,24,2021-12-06 10:30:17,03bqeiXnRb3rtbf38EoA7T,Raindrops (feat. Carmen Forbes),2012,album,Fytch,"Captain Crunch, Carmen Forbes",4A18NGfdKU0HrkmvVlPO7I,"0klOVtF0NbuQGymfqOhuK0, 4XY6mCv2cLDP5bSYILeHk5",0.571,0.917,7,-3.166,0,0.0836,0.00583,0.0,0.614,0.475,48,33734,bass trap,"filthstep, future bass, traprun"
36,6yQzmExEko10YHlaVfkFOe,Python,4.801283333333333,False,25,2021-12-06 10:25:51,4dVJxTCUqkfq79FnwBgiXP,Python / What Do You Know,2012,album,Dodge & Fuski,,6SJnjpekgnONgNtxKeMP8m,,0.498,0.981,1,-4.202,1,0.0542,0.000112,0.297,0.863,0.373,49,114290,brostep,"complextro, dubstep, edm, electro house, electronic trap, filthstep"
37,5yQmKyKEdjtxFDPIK9mFLn,Rise & Fall (feat. Krewella),6.03125,False,45,2021-12-06 10:21:03,5xkfX4DNx7hZYrGy8H1YUJ,Rise & Fall (feat. Krewella),2012,album,Adventure Club,,5CdJjUi9f0cVgo9nFuJrFa,,0.513,0.819,5,-5.372,0,0.0454,0.00224,0.153,0.058,0.449,58,279886,brostep,"canadian electronic, edm, electro house, electronic trap, electropop, filthstep, future bass, melodic dubstep, pop dance, pop edm"
38,3xBiRB00WfvesyCQXDfZwH,Who Are You,3.742166666666667,False,42,2021-12-06 10:15:00,5olnsNaxiDK4pU0jrPYpJC,Luminous,2017,album,Draper,,5Z8Qlj0jWh0OOmJ55EwSnu,,0.492,0.916,1,-5.684,1,0.0386,0.0106,0.122,0.066,0.383,41,30354,chillstep,"complextro, edm, electro house, future bass, gaming edm, melodic dubstep, pop edm"
39,3xrdlyNFDCtgbuYyaWxZyW,The Other Day,3.9955166666666666,False,31,2021-12-06 10:11:15,26sYZxYTk8O01GJ66dUVXb,The Other Day,2012,album,Insan3lik3,,0ACEzksK2oPw72QtDMCUVV,,0.707,0.577,0,-7.509,0,0.0528,0.0331,0.0852,0.154,0.24,37,26874,complextro,"electro house, gaming edm"
40,3LQxo27aEIRGxAypPq9fFs,Now Or Never - Estiva Vs. Juventa Remix,5.625,False,42,2021-12-06 10:07:15,0ArhA4X9j68xgDstoGW4sp,Now Or Never (Remixes Pt. 2),2014,album,Tritonal,"Phoebe Ryan, Estiva, Juventa",521qvhdobR0GzhvU6TFw76,"4N874uPqBka1QiCvnCVOtr, 1ltDgA6tV4utKM6y1BOYIE, 2c8lJBXnL9RqVgp81tm2np",0.639,0.775,9,-5.771,1,0.224,0.004,0.000409,0.15,0.265,61,212475,edm,"electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance, trance, tropical house, uplifting trance"
41,5ABDsQEkVZ1ECGPGQl6Yfr,Innocence,5.136216666666667,False,47,2021-12-06 10:01:37,6GazPcWYAUnvB83tXIbs97,Welcome Reality,2011,album,NERO,,4uRYpUQZrNrY5t8tAv3XrD,,0.373,0.734,7,-5.707,0,0.0658,0.00128,0.356,0.0868,0.0678,59,807755,drum and bass,"edm, electro house, melodic dubstep"
42,1zzjHoGaWqtZoUhkqSxnhS,Reaching - Original Mix,3.6534666666666666,False,28,2021-12-06 09:56:28,44J0uhcKKoIQ0CPAsAaDF1,Reaching,2014,album,Kasbo,,1ikID9RZZMvkuBGDWrqajq,,0.549,0.974,4,-4.267,0,0.139,0.0116,0.315,0.074,0.151,58,133959,edm,"electropop, future bass, indie electropop, indie poptimism, new french touch, pop dance, pop edm, swedish electropop, tropical house, vapor soul, vapor twitch"
43,3pIFV8sRDlXvoZk7Pz6Kru,Magnum,4.757,False,27,2021-12-06 09:52:49,5wkj2owAT7C63ZpNNXEwnW,The Domination EP,2011,album,xKore,,5cfALf5vLhWIo7VeIh4fQX,,0.392,0.815,2,-3.976,1,0.0548,0.000188,0.851,0.105,0.44,35,26038,filthstep,
44,5iC8zMxtmfpGL07nboVaOx,Run Away from Me,4.617816666666666,False,35,2021-12-06 09:48:03,6yAfW1xcugjVHN7CcN6ydI,Monstercat 004 - Identity,2011,album,DotEXE,,2S2RMiHABGxAQqdqwUN5qF,,0.572,0.812,1,-6.236,1,0.163,0.00014,0.633,0.325,0.464,38,44629,complextro,"edm, electro house, gaming edm"
